filename,num_words,ttr,gawl,gfw,big,trig,bignofun,trignofun,pos
Jujutsu_Kaisen_Cursed_Clash.txt,27,0.8888888888888888,5.185185185185185,jujutsu | world | spirits | sorcerers | master | kaisen | game | friend | fighting | favorite,your favorite | world of | this actionpacked | the world | the jujutsu | spirits bring | sorcerers and | of your | of jujutsu | master the,your favorite sorcerers | world of jujutsu | this actionpacked 2on2 | the world of | the jujutsu of | spirits bring a | sorcerers and cursed | of your favorite | of jujutsu kaisen | master the jujutsu,world of | world jujutsu | spirits bring | sorcerers cursed | sorcerers and | master the | master jujutsu | kaisen this | kaisen in | kaisen actionpacked,your favorite sorcerers | world world jujutsu | this actionpacked 2on2 | the world of | the jujutsu of | spirits bring a | sorcerers sorcerers cursed | of jujutsu kaisen | of jujutsu favorite | master master jujutsu,NNP | NN | IN | DT | JJ | CC | VBD | PRP$ | NNPS
Karateka.txt,31,0.967741935483871,5.838709677419355,tin | steam | side-scrolling | prince | persia | original | music | mechner | matsuda | karate,with art | to steam | tin civilization | the original | the batman | steam with | sidescrolling karate | prince of | persia creator | original sidescrolling,with art by | to steam with | tin civilization iv | the original sidescrolling | the batman and | steam with art | sidescrolling karate classic | prince of persia | persia creator jordan | original sidescrolling karate,tin civilization | the batman | steam with | steam art | sidescrolling karate | prince of | persia creator | original sidescrolling | of persia | music grammywinning,with art by | to steam with | tin civilization iv | the original sidescrolling | the batman and | steam steam art | sidescrolling karate classic | prince of persia | persia creator jordan | original sidescrolling karate,NNP | NN | IN | JJ | VBZ | VB | TO | DT | CC
KnockEm_Out.txt,34,0.7058823529411765,3.9411764705882355,fight | lose | wound | whole | scratch | let's | legs | headbutt | flesh | body,you lose | if you | fight fight | your whole | your legs | wound if | with your | whole body | them lets | the other,if you lose | your whole body | your legs headbutt | you lose your | you lose the | you lose an | wound if you | with your whole | whole body if | them lets fight,if you | if lose | fight fight | wound if | whole body | scratch if | lose your | lose the | lose other | lose legs,if if lose | your whole body | your legs headbutt | you lose your | you lose the | you lose an | wound if you | with fight whole | whole body if | them lets fight,NN | NNP | VBP | PRP | IN | DT | PRP$ | JJ | RB | NNS
Lugaru_HD.txt,52,0.8076923076923077,5.423076923076923,rabbit | combat | wolves | village | uncover | turner | streamlined | slaughtering | skills | responsible,of the | wolves of | with impressive | village uncover | uncover a | turner a | to find | those responsible | the wolves | the rabbit,wolves of the | with impressive combat | village uncover a | uncover a farreaching | turner a rebel | to find those | those responsible for | the wolves of | the rabbit republic | the nearby lands,wolves the | wolves of | wolves nearby | village uncover | uncover farreaching | uncover a | turner rebel | turner a | streamlined combat | slaughtering village,wolves wolves the | with impressive combat | village uncover a | uncover uncover farreaching | turner turner rebel | to find those | those responsible for | the wolves of | the rabbit republic | the nearby lands,NN | DT | JJ | IN | NNS | NNP | VBG | PRP$ | CC | VBP
Mad_Streets.txt,44,0.9318181818181818,4.840909090909091,yet | wild | town | throughout | streets | players | player | physics | party | online,yet comical | with an | wild physics | who is | where players | to determine | throughout a | the baddest | streets is | players battle,yet comical fist | with an emphasis | wild physics driven | who is the | where players battle | town mad streets | to determine who | throughout a multitude | the baddest player | streets is a,yet comical | wild physics | throughout multitude | throughout a | streets is | streets hilarious | streets a | players battle | player town | player in,yet comical fist | with game emphasis | wild physics driven | who determine the | where players battle | town mad streets | to determine who | throughout throughout multitude | the baddest player | streets streets a,NN | JJ | IN | DT | NNS | VBZ | RB | NNP | WRB | WP
Mighty_Morphin_Power_Rangers_Ritas_Rewind.txt,49,0.8979591836734694,4.918367346938775,rangers | power | younger | vanquish | time | team | send | self | robotic | robo,power rangers | the power | younger self | with her | vanquish the | to send | time so | the team | team faces | so she,the power rangers | with her younger | vanquish the power | to send herself | time so she | the team faces | team faces off | so she can | she can finally | send herself back,power rangers | younger self | vanquish the | vanquish power | time so | time she | time finally | time can | team faces | send herself,the power rangers | with alliance younger | vanquish vanquish power | to send herself | time time she | the team faces | team faces off | so time can | she time finally | send send back,NNP | NN | IN | DT | VBZ | VB | RB | PRP | JJ | VBN
MY_HERO_ONES_JUSTICE_2.txt,39,0.8717948717948718,4.871794871794871,one's | justice | hero | use | smash | quirks | over-the-top | makes | make | huge,ones justice | my hero | hero ones | you clash | use of | to the | the smash | the overthetop | smash hit | quirks as,my hero ones | hero ones justice | you clash headtohead | use of characters | to the smash | the smash hit | the overthetop followup | smash hit 3d | quirks as you | overthetop followup to,ones justice | my hero | hero ones | use of | use characters | smash hit | quirks you | quirks clash | quirks as | overthetop followup,my hero ones | hero ones justice | you clash headtohead | use use characters | to followup smash | the smash hit | the overthetop followup | smash hit 3d | quirks quirks you | overthetop followup to,NNP | NN | JJ | IN | VBP | PRP$ | NNS | DT | CD | VBZ
MY_HERO_ULTRA_RUMBLE.txt,28,0.9285714285714286,4.464285714285714,"ultra | team | standing | rumble"" | royale | play | pick | ones | new | last",your favorite | up and | ultra rumble | to play | to be | the new | the last | team up | standing in | royale free,your favorite character | up and fight | to play game | to be the | the new 24player | the last ones | team up and | standing in the | rumble pick your | royale free to,ultra rumble | team up | team fight | team and | standing the | standing new | standing in | royale free | play game | pick your,your favorite character | up team fight | to play game | to fight the | the new 24player | the last ones | team team and | standing standing the | rumble pick your | royale free to,NNP | JJ | VB | NN | TO | DT | VBG | VBD | RB | PRP$
NARAKA_BLADEPOINT.txt,52,0.8653846153846154,4.711538461538462,varied | unlike | unique | team | skills | royale | playstyle | players | play | naraka,your playstyle | with unique | with friends | with a | varied cast | up with | unlike any | unique skills | the legends | the fray,your playstyle with | with unique skills | with friends in | with a varied | varied cast of | up with friends | unlike any other | unique skills more | the legends of | the fray play,varied cast | unlike other | unlike find | unlike any | unique skills | team with | team up | team friends | skills more | royale experience,your playstyle with | with unique skills | with playstyle varied | with friends in | varied cast of | up team friends | unlike unlike other | unique skills more | the legends of | the fray play,IN | NNP | NN | NNS | DT | JJ | RB | CD | VBP | VBN
NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_3_Full_Burst_HD.txt,23,0.9565217391304348,5.130434782608695,ninja | war | ultra | overpowering | online | offline | live | great | friends | fights,your friends | war and | ultra dynamic | the 4th | overpowering boss | or defy | online and | offline ninja | ninja war | ninja confrontations,your friends in | war and its | ultra dynamic online | the 4th great | overpowering boss fights | or defy your | online and offline | offline ninja confrontations | ninja war and | live the 4th,war overpowering | war its | war and | ultra dynamic | overpowering boss | online offline | online and | offline ninja | ninja war | ninja confrontations,your friends in | war war its | ultra dynamic online | the 4th great | overpowering boss fights | or defy your | online online offline | offline ninja confrontations | ninja war and | live live 4th,NN | NNP | JJ | CC | VB | PRP$ | NNS | IN | DT | CD
